TECNOLOGIA INSTALADA,INSTITUCION,TURNO/HORARIO,NIVEL,REGION,MUNICIPIO,LOCALIDAD,DOMICILIO,ESTATUS,CODIGO POSTAL
1.0,20.0,74.0,107.0,5.0,12.0,55.0,3948.0,2.0,48900.0
0.0,11.0,74.0,4.0,1.0,99.0,346.0,3470.0,1.0,45400.0
1.0,20.0,74.0,103.0,2.0,40.0,346.0,1854.0,2.0,44730.0
0.0,20.0,79.0,103.0,2.0,104.0,983.0,3479.0,1.0,45620.0
1.0,20.0,74.0,103.0,2.0,104.0,346.0,4329.0,2.0,45400.0
1.0,20.0,79.0,103.0,2.0,127.0,1034.0,3806.0,2.0,45190.0
0.0,20.0,74.0,107.0,2.0,120.0,191.0,1157.0,1.0,45730.0
1.0,20.0,74.0,103.0,2.0,28.0,963.0,1405.0,2.0,45480.0
1.0,20.0,74.0,103.0,2.0,127.0,1034.0,1993.0,2.0,45140.0
0.0,20.0,74.0,107.0,0.0,36.0,295.0,1405.0,1.0,47270.0
1.0,20.0,79.0,103.0,8.0,117.0,1006.0,2843.0,2.0,48000.0
1.0,22.0,74.0,103.0,0.0,74.0,776.0,3248.0,2.0,47950.0
0.0,20.0,74.0,103.0,0.0,56.0,301.0,1405.0,1.0,47400.0
0.0,18.0,74.0,103.0,13.0,2.0,20.0,357.0,1.0,45400.0
1.0,20.0,74.0,107.0,13.0,37.0,328.0,569.0,2.0,46500.0
0.0,20.0,74.0,103.0,2.0,104.0,983.0,3987.0,0.0,45500.0
0.0,20.0,74.0,97.0,5.0,12.0,538.0,3805.0,0.0,48900.0
0.0,11.0,56.0,103.0,2.0,40.0,346.0,611.0,1.0,45400.0
0.0,20.0,79.0,97.0,2.0,40.0,346.0,2196.0,0.0,44400.0
0.0,11.0,74.0,103.0,5.0,12.0,55.0,1171.0,0.0,45400.0
1.0,20.0,74.0,107.0,2.0,103.0,397.0,4163.0,2.0,45670.0
1.0,8.0,74.0,103.0,2.0,127.0,346.0,1308.0,2.0,45400.0
1.0,22.0,74.0,103.0,12.0,91.0,1026.0,4103.0,2.0,49657.0
1.0,20.0,74.0,103.0,2.0,103.0,87.0,1291.0,2.0,45670.0
0.0,20.0,74.0,105.0,2.0,40.0,346.0,2522.0,1.0,44950.0
0.0,20.0,79.0,97.0,2.0,40.0,346.0,741.0,0.0,44910.0
0.0,20.0,74.0,103.0,13.0,82.0,798.0,2845.0,1.0,46770.0
1.0,20.0,74.0,103.0,3.0,10.0,48.0,872.0,2.0,47753.0
0.0,13.0,74.0,103.0,1.0,79.0,830.0,2250.0,1.0,47170.0
0.0,20.0,74.0,103.0,2.0,35.0,294.0,2452.0,1.0,45680.0
0.0,7.0,74.0,97.0,2.0,107.0,346.0,3091.0,1.0,45409.0
1.0,20.0,74.0,7.0,13.0,23.0,134.0,4382.0,2.0,48500.0
0.0,20.0,74.0,107.0,2.0,40.0,346.0,2515.0,0.0,44950.0
1.0,23.0,74.0,103.0,3.0,64.0,346.0,1040.0,2.0,45400.0
1.0,11.0,74.0,103.0,0.0,116.0,1005.0,2833.0,2.0,45400.0
1.0,20.0,79.0,103.0,2.0,132.0,1041.0,4568.0,2.0,45430.0
0.0,20.0,74.0,83.0,2.0,40.0,346.0,2501.0,0.0,44950.0
0.0,22.0,74.0,103.0,2.0,127.0,1034.0,1385.0,1.0,45100.0
3.0,20.0,74.0,107.0,3.0,68.0,630.0,2734.0,2.0,45970.0
1.0,20.0,74.0,107.0,13.0,82.0,225.0,3003.0,2.0,46798.0
0.0,20.0,74.0,103.0,3.0,130.0,468.0,3467.0,1.0,45980.0
1.0,22.0,74.0,103.0,2.0,40.0,346.0,2861.0,2.0,44700.0
0.0,6.0,74.0,103.0,4.0,69.0,346.0,1405.0,1.0,45400.0
0.0,20.0,79.0,97.0,1.0,6.0,36.0,1919.0,1.0,47180.0
1.0,20.0,79.0,83.0,13.0,32.0,185.0,1766.0,2.0,45350.0
0.0,20.0,74.0,107.0,0.0,56.0,280.0,1405.0,0.0,47470.0
0.0,23.0,74.0,103.0,13.0,2.0,346.0,1405.0,1.0,45400.0
0.0,20.0,74.0,103.0,2.0,127.0,1034.0,327.0,1.0,45070.0
1.0,20.0,74.0,103.0,2.0,132.0,1041.0,1946.0,2.0,45430.0
1.0,20.0,74.0,103.0,13.0,2.0,20.0,1795.0,2.0,46730.0
1.0,20.0,74.0,107.0,4.0,69.0,367.0,3720.0,2.0,48290.0
0.0,20.0,79.0,103.0,2.0,107.0,987.0,1566.0,1.0,45400.0
0.0,20.0,74.0,97.0,10.0,94.0,942.0,2174.0,1.0,49230.0
1.0,20.0,74.0,103.0,10.0,75.0,785.0,1301.0,2.0,49700.0
1.0,20.0,74.0,7.0,13.0,100.0,966.0,1256.0,2.0,46400.0
1.0,22.0,74.0,103.0,10.0,92.0,936.0,2754.0,2.0,49340.0
1.0,13.0,74.0,103.0,5.0,12.0,346.0,2254.0,2.0,48900.0
0.0,20.0,74.0,97.0,10.0,3.0,139.0,2476.0,1.0,49370.0
0.0,7.0,74.0,103.0,12.0,67.0,346.0,1896.0,1.0,45400.0
1.0,20.0,74.0,103.0,4.0,69.0,528.0,3790.0,2.0,48291.0
1.0,20.0,79.0,103.0,4.0,69.0,721.0,2171.0,2.0,48292.0
0.0,20.0,79.0,103.0,2.0,40.0,346.0,2710.0,1.0,44970.0
1.0,20.0,74.0,103.0,2.0,127.0,1034.0,3263.0,2.0,45198.0
0.0,20.0,74.0,107.0,0.0,56.0,172.0,1405.0,0.0,47510.0
0.0,20.0,74.0,107.0,0.0,56.0,504.0,1405.0,0.0,47470.0
0.0,22.0,74.0,103.0,1.0,99.0,630.0,2343.0,1.0,47710.0
0.0,20.0,79.0,97.0,10.0,131.0,132.0,933.0,1.0,49090.0
0.0,20.0,74.0,107.0,2.0,40.0,346.0,3645.0,0.0,44960.0
0.0,20.0,74.0,107.0,2.0,40.0,346.0,719.0,0.0,44990.0
0.0,20.0,74.0,103.0,2.0,104.0,983.0,2292.0,0.0,45615.0
0.0,22.0,74.0,103.0,13.0,89.0,168.0,2858.0,1.0,45341.0
1.0,23.0,74.0,103.0,9.0,14.0,346.0,2183.0,2.0,45400.0
0.0,20.0,74.0,107.0,13.0,82.0,80.0,135.0,1.0,46775.0
0.0,20.0,74.0,97.0,12.0,67.0,692.0,3783.0,1.0,49870.0
0.0,20.0,74.0,97.0,13.0,89.0,929.0,3533.0,0.0,45300.0
0.0,20.0,79.0,103.0,1.0,79.0,830.0,2817.0,2.0,47170.0
0.0,11.0,74.0,103.0,3.0,53.0,395.0,4719.0,0.0,47910.0
1.0,22.0,74.0,103.0,12.0,55.0,455.0,261.0,2.0,49460.0
0.0,20.0,74.0,107.0,13.0,23.0,90.0,260.0,1.0,48509.0
0.0,20.0,74.0,97.0,10.0,126.0,339.0,2665.0,1.0,45765.0
1.0,22.0,74.0,103.0,3.0,64.0,660.0,3119.0,2.0,47860.0
1.0,23.0,74.0,14.0,3.0,13.0,346.0,509.0,2.0,45400.0
1.0,20.0,79.0,103.0,2.0,40.0,346.0,831.0,2.0,44680.0
1.0,20.0,74.0,107.0,2.0,40.0,346.0,3259.0,2.0,44250.0
1.0,20.0,74.0,103.0,2.0,127.0,971.0,4402.0,2.0,45200.0
0.0,20.0,74.0,103.0,10.0,129.0,729.0,1405.0,1.0,49770.0
1.0,20.0,74.0,103.0,2.0,107.0,987.0,4442.0,2.0,45412.0
0.0,20.0,74.0,97.0,13.0,57.0,615.0,4517.0,1.0,46470.0
1.0,20.0,74.0,103.0,12.0,59.0,409.0,1405.0,2.0,49500.0
0.0,20.0,74.0,107.0,13.0,2.0,702.0,3519.0,1.0,46756.0
0.0,1.0,74.0,103.0,3.0,53.0,802.0,1360.0,0.0,45400.0
1.0,22.0,74.0,103.0,2.0,127.0,1034.0,386.0,2.0,45090.0
0.0,20.0,74.0,7.0,6.0,24.0,147.0,2278.0,1.0,46200.0
0.0,20.0,74.0,97.0,0.0,77.0,326.0,1437.0,0.0,47000.0
0.0,20.0,74.0,103.0,2.0,127.0,1034.0,867.0,1.0,45040.0
1.0,20.0,74.0,107.0,3.0,13.0,800.0,1405.0,2.0,47930.0
0.0,13.0,74.0,103.0,2.0,40.0,346.0,3228.0,1.0,44700.0
0.0,20.0,74.0,103.0,6.0,85.0,234.0,2282.0,1.0,46240.0
1.0,17.0,24.0,84.0,5.0,12.0,55.0,540.0,2.0,48900.0
0.0,20.0,58.0,87.0,2.0,40.0,346.0,1537.0,0.0,44920.0
0.0,20.0,74.0,97.0,0.0,56.0,470.0,4368.0,0.0,47400.0
0.0,20.0,74.0,97.0,2.0,103.0,676.0,4366.0,0.0,45643.0
1.0,17.0,8.0,84.0,1.0,99.0,958.0,4323.0,2.0,47600.0
1.0,22.0,74.0,103.0,2.0,132.0,1041.0,1203.0,2.0,45030.0
1.0,20.0,74.0,107.0,2.0,127.0,1034.0,1353.0,2.0,45130.0
1.0,7.0,74.0,103.0,4.0,69.0,346.0,3382.0,2.0,45400.0
1.0,11.0,74.0,103.0,0.0,97.0,953.0,21.0,2.0,45400.0
0.0,20.0,74.0,103.0,3.0,10.0,908.0,4427.0,1.0,47750.0
0.0,20.0,79.0,97.0,2.0,127.0,1034.0,1272.0,0.0,45066.0
0.0,20.0,79.0,97.0,2.0,103.0,498.0,4589.0,0.0,45655.0
0.0,20.0,74.0,97.0,12.0,93.0,940.0,1382.0,1.0,49900.0
1.0,22.0,74.0,103.0,12.0,93.0,940.0,2799.0,2.0,49900.0
0.0,20.0,74.0,107.0,3.0,68.0,699.0,1877.0,0.0,45950.0
0.0,20.0,74.0,83.0,2.0,127.0,1034.0,1119.0,1.0,45070.0
0.0,20.0,79.0,97.0,4.0,69.0,721.0,2169.0,0.0,18290.0
1.0,7.0,74.0,103.0,2.0,40.0,346.0,3648.0,2.0,45400.0
0.0,20.0,74.0,97.0,10.0,131.0,132.0,4743.0,1.0,49093.0
1.0,22.0,74.0,103.0,2.0,51.0,387.0,4716.0,2.0,45880.0
1.0,20.0,74.0,103.0,2.0,32.0,185.0,726.0,2.0,45350.0
1.0,20.0,74.0,103.0,2.0,103.0,981.0,4586.0,2.0,45640.0
0.0,20.0,74.0,107.0,2.0,103.0,199.0,501.0,1.0,45640.0
0.0,11.0,74.0,108.0,2.0,40.0,346.0,3185.0,1.0,45400.0
1.0,20.0,79.0,103.0,2.0,40.0,346.0,2926.0,2.0,44300.0
1.0,20.0,74.0,97.0,2.0,40.0,346.0,400.0,2.0,44220.0
0.0,20.0,74.0,97.0,10.0,126.0,75.0,1180.0,0.0,45767.0
3.0,20.0,74.0,107.0,10.0,105.0,859.0,1405.0,2.0,49750.0
0.0,20.0,79.0,97.0,2.0,104.0,983.0,218.0,1.0,45590.0
1.0,22.0,74.0,103.0,0.0,36.0,322.0,328.0,2.0,47270.0
1.0,20.0,79.0,103.0,4.0,69.0,721.0,3231.0,2.0,48318.0
1.0,14.0,74.0,103.0,10.0,126.0,346.0,1405.0,2.0,45400.0
0.0,20.0,74.0,97.0,1.0,0.0,907.0,1474.0,1.0,45470.0
0.0,20.0,74.0,103.0,3.0,64.0,684.0,4264.0,1.0,47797.0
0.0,20.0,74.0,97.0,2.0,28.0,613.0,1405.0,1.0,45480.0
0.0,20.0,74.0,12.0,10.0,131.0,132.0,826.0,0.0,49000.0
1.0,20.0,74.0,107.0,3.0,113.0,834.0,2917.0,2.0,49440.0
0.0,18.0,74.0,103.0,2.0,40.0,346.0,588.0,0.0,45400.0
0.0,20.0,74.0,103.0,2.0,104.0,983.0,755.0,0.0,45500.0
3.0,22.0,74.0,103.0,6.0,61.0,759.0,2004.0,2.0,46040.0
1.0,20.0,74.0,107.0,2.0,127.0,1034.0,2746.0,2.0,45180.0
1.0,22.0,74.0,103.0,12.0,67.0,692.0,3874.0,2.0,49870.0
0.0,20.0,74.0,103.0,5.0,54.0,417.0,1405.0,1.0,48870.0
1.0,20.0,74.0,107.0,13.0,89.0,929.0,100.0,2.0,45300.0
1.0,23.0,74.0,55.0,3.0,30.0,346.0,4273.0,2.0,45400.0
0.0,20.0,74.0,103.0,1.0,48.0,379.0,3211.0,0.0,47950.0
0.0,20.0,74.0,97.0,1.0,118.0,289.0,1405.0,1.0,47280.0
0.0,20.0,79.0,97.0,2.0,127.0,1034.0,3816.0,0.0,45050.0
0.0,20.0,74.0,103.0,2.0,107.0,987.0,3330.0,0.0,45428.0
0.0,20.0,74.0,103.0,2.0,127.0,1034.0,161.0,0.0,45236.0
0.0,20.0,74.0,103.0,2.0,104.0,883.0,4274.0,0.0,45600.0
0.0,23.0,74.0,103.0,2.0,40.0,346.0,1048.0,1.0,44100.0
0.0,7.0,74.0,103.0,12.0,91.0,346.0,3543.0,1.0,45400.0
1.0,20.0,74.0,97.0,2.0,40.0,346.0,2122.0,2.0,44200.0
0.0,20.0,74.0,97.0,13.0,37.0,328.0,3839.0,0.0,46500.0
0.0,20.0,74.0,97.0,3.0,10.0,48.0,3837.0,1.0,47750.0
1.0,20.0,79.0,103.0,2.0,40.0,346.0,3261.0,2.0,44820.0
0.0,20.0,79.0,103.0,10.0,3.0,139.0,1405.0,1.0,49370.0
0.0,20.0,74.0,7.0,2.0,107.0,987.0,434.0,1.0,45406.0
0.0,20.0,79.0,97.0,2.0,40.0,346.0,3643.0,0.0,44980.0
0.0,20.0,74.0,97.0,1.0,0.0,967.0,1405.0,1.0,45470.0
0.0,20.0,74.0,97.0,2.0,103.0,566.0,2990.0,1.0,45640.0
0.0,18.0,74.0,103.0,2.0,127.0,346.0,641.0,0.0,45400.0
0.0,20.0,74.0,103.0,2.0,104.0,840.0,1753.0,0.0,45620.0
0.0,20.0,79.0,103.0,2.0,40.0,346.0,918.0,1.0,44970.0
1.0,20.0,74.0,103.0,1.0,118.0,1010.0,4117.0,2.0,47380.0
0.0,20.0,79.0,103.0,2.0,40.0,346.0,827.0,1.0,44820.0
1.0,20.0,74.0,103.0,3.0,111.0,992.0,2358.0,2.0,47730.0
0.0,20.0,58.0,97.0,2.0,127.0,652.0,4531.0,1.0,45131.0
1.0,20.0,79.0,103.0,10.0,87.0,921.0,4579.0,2.0,49300.0
1.0,20.0,74.0,7.0,2.0,107.0,987.0,4072.0,2.0,45403.0
1.0,20.0,74.0,7.0,3.0,30.0,171.0,1607.0,2.0,47980.0
0.0,20.0,74.0,103.0,13.0,5.0,195.0,3820.0,0.0,46725.0
1.0,22.0,74.0,103.0,2.0,127.0,1034.0,2651.0,2.0,45180.0
1.0,20.0,74.0,107.0,10.0,131.0,132.0,2714.0,2.0,49050.0
1.0,17.0,8.0,84.0,0.0,77.0,824.0,3674.0,2.0,47000.0
1.0,20.0,74.0,107.0,2.0,127.0,1034.0,3698.0,2.0,45100.0
1.0,17.0,20.0,84.0,1.0,60.0,629.0,24.0,2.0,47340.0
1.0,20.0,74.0,107.0,4.0,106.0,385.0,2685.0,2.0,48450.0
0.0,20.0,79.0,97.0,2.0,103.0,477.0,3080.0,0.0,45645.0
1.0,22.0,74.0,103.0,2.0,40.0,346.0,240.0,2.0,44470.0
1.0,22.0,74.0,103.0,12.0,119.0,1011.0,596.0,2.0,49540.0
0.0,20.0,74.0,103.0,1.0,6.0,433.0,1405.0,0.0,47187.0
0.0,20.0,74.0,97.0,2.0,104.0,983.0,1957.0,0.0,45599.0
0.0,20.0,74.0,97.0,5.0,12.0,55.0,2960.0,1.0,48900.0
1.0,20.0,74.0,103.0,13.0,5.0,31.0,1943.0,2.0,46649.0
1.0,20.0,79.0,7.0,3.0,13.0,57.0,1649.0,2.0,47930.0
0.0,7.0,74.0,103.0,2.0,45.0,346.0,2324.0,1.0,45400.0
1.0,20.0,79.0,103.0,10.0,87.0,921.0,2116.0,2.0,49300.0
0.0,20.0,74.0,107.0,2.0,35.0,294.0,857.0,0.0,45680.0
0.0,20.0,74.0,103.0,13.0,57.0,668.0,1758.0,1.0,46470.0
1.0,20.0,74.0,107.0,8.0,33.0,237.0,1356.0,2.0,48740.0
0.0,20.0,74.0,97.0,10.0,131.0,132.0,255.0,1.0,49099.0
0.0,17.0,25.0,89.0,2.0,127.0,825.0,2419.0,1.0,45019.0
0.0,20.0,74.0,103.0,6.0,121.0,907.0,4425.0,0.0,46100.0
0.0,20.0,74.0,97.0,2.0,104.0,299.0,2506.0,0.0,45608.0
1.0,20.0,58.0,7.0,1.0,99.0,959.0,778.0,2.0,47600.0
0.0,22.0,74.0,103.0,3.0,68.0,699.0,1879.0,1.0,45950.0
1.0,22.0,74.0,103.0,2.0,44.0,47.0,3107.0,2.0,45860.0
0.0,11.0,75.0,102.0,13.0,37.0,328.0,1825.0,0.0,46500.0
0.0,20.0,74.0,103.0,3.0,68.0,699.0,1797.0,0.0,45950.0
0.0,20.0,74.0,107.0,2.0,35.0,260.0,4052.0,0.0,45680.0
1.0,22.0,74.0,103.0,2.0,44.0,578.0,3106.0,2.0,45350.0
1.0,20.0,74.0,103.0,12.0,59.0,621.0,702.0,2.0,49500.0
0.0,20.0,74.0,107.0,2.0,35.0,820.0,949.0,0.0,45694.0
0.0,20.0,74.0,97.0,10.0,128.0,1036.0,1649.0,1.0,49603.0
0.0,22.0,74.0,103.0,10.0,126.0,835.0,3882.0,0.0,45770.0
1.0,20.0,74.0,12.0,10.0,131.0,132.0,3879.0,2.0,49000.0
1.0,22.0,74.0,103.0,12.0,93.0,940.0,2799.0,2.0,49900.0
0.0,20.0,74.0,103.0,3.0,113.0,521.0,3029.0,1.0,49430.0
0.0,20.0,79.0,97.0,2.0,127.0,1034.0,4542.0,0.0,45080.0
0.0,20.0,74.0,103.0,1.0,76.0,750.0,1417.0,1.0,47190.0
1.0,22.0,74.0,103.0,10.0,131.0,132.0,4661.0,2.0,49000.0
0.0,20.0,79.0,103.0,2.0,35.0,820.0,1755.0,0.0,45694.0
1.0,20.0,74.0,103.0,5.0,17.0,487.0,60.0,2.0,48930.0
0.0,20.0,74.0,97.0,10.0,131.0,132.0,3982.0,1.0,49000.0
1.0,20.0,74.0,87.0,0.0,97.0,953.0,2835.0,2.0,47200.0
1.0,14.0,74.0,103.0,3.0,30.0,346.0,1082.0,2.0,45400.0
0.0,20.0,74.0,97.0,2.0,127.0,461.0,1405.0,1.0,45130.0
1.0,20.0,74.0,103.0,10.0,38.0,870.0,2603.0,2.0,49120.0
0.0,20.0,74.0,97.0,10.0,128.0,1036.0,2287.0,1.0,49610.0
1.0,20.0,74.0,103.0,10.0,128.0,222.0,2989.0,2.0,49620.0
0.0,20.0,74.0,97.0,12.0,91.0,933.0,2396.0,1.0,49653.0
3.0,20.0,74.0,107.0,3.0,10.0,818.0,1405.0,2.0,47775.0
0.0,20.0,77.0,103.0,2.0,40.0,346.0,1128.0,0.0,44970.0
0.0,20.0,79.0,97.0,2.0,40.0,346.0,3240.0,1.0,44870.0
1.0,7.0,74.0,103.0,10.0,87.0,346.0,3944.0,2.0,45400.0
0.0,20.0,74.0,97.0,10.0,109.0,425.0,1405.0,1.0,49840.0
0.0,20.0,74.0,103.0,2.0,132.0,626.0,3065.0,0.0,45435.0
0.0,22.0,74.0,103.0,2.0,127.0,1034.0,821.0,1.0,45170.0
1.0,20.0,74.0,103.0,2.0,35.0,294.0,2198.0,2.0,45680.0
0.0,20.0,79.0,103.0,13.0,23.0,490.0,2809.0,0.0,48520.0
0.0,20.0,74.0,103.0,5.0,12.0,739.0,3035.0,0.0,48900.0
0.0,20.0,74.0,97.0,13.0,5.0,792.0,1405.0,1.0,46720.0
0.0,20.0,74.0,107.0,1.0,83.0,71.0,1413.0,0.0,47140.0
1.0,22.0,74.0,103.0,4.0,106.0,384.0,1224.0,2.0,48492.0
1.0,20.0,79.0,103.0,8.0,33.0,237.0,2772.0,2.0,48740.0
0.0,17.0,8.0,89.0,2.0,127.0,331.0,3715.0,1.0,45130.0
0.0,20.0,74.0,97.0,13.0,5.0,27.0,4133.0,1.0,46600.0
1.0,20.0,74.0,103.0,10.0,98.0,956.0,2826.0,2.0,49250.0
1.0,17.0,74.0,103.0,1.0,48.0,379.0,1510.0,2.0,45400.0
0.0,20.0,74.0,97.0,0.0,56.0,254.0,1405.0,0.0,47400.0
0.0,20.0,79.0,97.0,2.0,107.0,987.0,953.0,0.0,45400.0
0.0,20.0,79.0,103.0,1.0,0.0,4.0,4009.0,1.0,45470.0
0.0,20.0,74.0,97.0,2.0,127.0,971.0,1783.0,1.0,45200.0
1.0,20.0,79.0,103.0,2.0,40.0,346.0,4350.0,2.0,44300.0
0.0,20.0,74.0,103.0,0.0,56.0,378.0,1405.0,1.0,47400.0
0.0,20.0,79.0,97.0,2.0,127.0,1034.0,1372.0,0.0,45235.0
1.0,20.0,74.0,103.0,13.0,82.0,611.0,2803.0,2.0,46770.0
1.0,20.0,74.0,103.0,5.0,123.0,1025.0,70.0,2.0,48800.0
1.0,22.0,74.0,103.0,10.0,131.0,132.0,744.0,2.0,49088.0
0.0,20.0,74.0,103.0,2.0,103.0,353.0,1330.0,0.0,45655.0
0.0,20.0,74.0,103.0,13.0,4.0,502.0,1713.0,1.0,45380.0
0.0,20.0,74.0,97.0,12.0,91.0,426.0,4314.0,1.0,49650.0
0.0,20.0,74.0,107.0,0.0,36.0,540.0,1405.0,1.0,47295.0
1.0,20.0,74.0,103.0,2.0,1.0,5.0,274.0,2.0,45700.0
0.0,22.0,74.0,103.0,2.0,127.0,1034.0,1076.0,1.0,45180.0
0.0,20.0,79.0,103.0,2.0,127.0,1034.0,3801.0,0.0,45180.0
0.0,20.0,74.0,107.0,13.0,100.0,912.0,1405.0,1.0,46400.0
0.0,20.0,79.0,103.0,2.0,103.0,981.0,2948.0,1.0,45670.0
0.0,20.0,74.0,103.0,1.0,83.0,923.0,1475.0,1.0,47140.0
0.0,20.0,74.0,103.0,5.0,12.0,288.0,4663.0,0.0,48900.0
0.0,20.0,74.0,109.0,13.0,23.0,134.0,3622.0,1.0,48500.0
1.0,20.0,74.0,107.0,13.0,32.0,185.0,3005.0,2.0,45350.0
1.0,20.0,74.0,103.0,3.0,10.0,48.0,856.0,2.0,47750.0
0.0,20.0,74.0,103.0,2.0,40.0,346.0,238.0,0.0,44960.0
0.0,20.0,74.0,97.0,13.0,5.0,268.0,2982.0,0.0,46715.0
0.0,20.0,74.0,97.0,10.0,131.0,132.0,254.0,1.0,49050.0
1.0,20.0,79.0,103.0,2.0,40.0,346.0,4484.0,2.0,44300.0
0.0,20.0,74.0,97.0,2.0,104.0,983.0,1642.0,0.0,45500.0
0.0,20.0,74.0,103.0,2.0,104.0,983.0,2459.0,0.0,45638.0
0.0,20.0,79.0,103.0,1.0,76.0,793.0,3475.0,0.0,47190.0
1.0,20.0,79.0,103.0,2.0,127.0,1034.0,1807.0,2.0,45180.0
1.0,11.0,74.0,103.0,2.0,40.0,346.0,383.0,2.0,45400.0
1.0,20.0,74.0,103.0,10.0,131.0,132.0,3400.0,2.0,49000.0
0.0,20.0,74.0,107.0,2.0,28.0,309.0,1405.0,1.0,45480.0
1.0,20.0,74.0,107.0,0.0,77.0,824.0,673.0,2.0,47000.0
0.0,20.0,79.0,97.0,2.0,40.0,346.0,1032.0,1.0,44440.0
0.0,20.0,74.0,107.0,2.0,40.0,346.0,937.0,0.0,44990.0
0.0,20.0,74.0,107.0,2.0,104.0,983.0,1170.0,0.0,45600.0
0.0,22.0,74.0,103.0,13.0,78.0,917.0,3760.0,1.0,46570.0
1.0,20.0,74.0,83.0,10.0,38.0,870.0,4620.0,2.0,49120.0
0.0,20.0,74.0,97.0,2.0,127.0,782.0,2837.0,1.0,45200.0
0.0,20.0,74.0,103.0,6.0,85.0,515.0,3341.0,1.0,46240.0
0.0,20.0,79.0,103.0,13.0,23.0,410.0,67.0,0.0,48530.0
0.0,11.0,74.0,103.0,3.0,47.0,346.0,1405.0,1.0,45400.0
0.0,20.0,74.0,97.0,13.0,2.0,20.0,1646.0,1.0,46730.0
1.0,23.0,74.0,40.0,1.0,118.0,346.0,2872.0,2.0,45400.0
0.0,20.0,74.0,107.0,2.0,107.0,987.0,791.0,1.0,45420.0
0.0,20.0,79.0,103.0,2.0,35.0,542.0,2156.0,1.0,45693.0
0.0,20.0,74.0,103.0,1.0,48.0,379.0,3528.0,1.0,47950.0
0.0,20.0,74.0,97.0,2.0,40.0,346.0,2667.0,0.0,44970.0
0.0,20.0,74.0,109.0,0.0,56.0,757.0,3046.0,1.0,47470.0
0.0,20.0,74.0,103.0,2.0,127.0,1034.0,3812.0,0.0,45050.0
1.0,20.0,74.0,107.0,2.0,40.0,346.0,4300.0,2.0,44910.0
0.0,20.0,74.0,103.0,2.0,104.0,983.0,4497.0,0.0,45610.0
0.0,20.0,79.0,103.0,2.0,103.0,353.0,965.0,0.0,45655.0
0.0,7.0,74.0,103.0,12.0,93.0,346.0,1609.0,1.0,45400.0
0.0,11.0,74.0,103.0,3.0,64.0,346.0,1405.0,0.0,45400.0
0.0,20.0,74.0,103.0,13.0,100.0,424.0,1405.0,1.0,46400.0
1.0,20.0,79.0,103.0,4.0,69.0,721.0,1805.0,2.0,48315.0
1.0,20.0,74.0,103.0,13.0,37.0,328.0,1383.0,2.0,46500.0
1.0,22.0,74.0,103.0,10.0,38.0,760.0,3432.0,2.0,49130.0
