CLAVE DE INMUEBLE,TECNOLOGIA INSTALADA,ANCHO DE BANDA CONTRATADO 2014,INSTITUCION,NOMBRE DEL CENTRO,TURNO/HORARIO,NIVEL,REGION,MUNICIPIO,LOCALIDAD,DOMICILIO,CODIGO POSTAL,LONGITUD,LATITUD,ESTATUS
1405007G, iMAX,2 MB,SEJ,ACOLMIZTLI,MATUTINO,PRIMARIA,SUR,TUXPAN,TUXPAN,J JESUS ROMERO FLORES 63,49800,-103.37675,19.5496972,SIN SERVICIO
1409072C, iMAX,2 MB,SEJ,BENITO JUAREZ,MATUTINO,SECUNDARIA,CENTRO,TLAJOMULCO DE ZUÑIGA,LA UNION DEL CUATRO (SAN JOSE DEL VALLE),JAVIER MINA ESQ. CANAL DEL SIAPA COL. UNION DEL 4,45655,-103.3611111,20.5297222,SIN SERVICIO
1406201B, iMAX,2 MB,SEJ,MIGUEL HIDALGO,MIXTO,PREESCOLAR,COSTA ORTE,PUERTO VALLARTA,PUERTO VALLARTA,AVENIDA UNIVERSO 155,48338,-105.2361194,20.6585861,SIN SERVICIO
UDG_15,ADSL,2 MB,UDG,N/D,N/D,N/D,ALTOS ORTE,LAGOS DE MORENO,N/D,AV. ENRIQUE DIAZ DE LEON S/N,N/D,-101.951611,21.357111,SUSPENDIDO
1412298E,ADSL,2 MB,SEJ,MODULO UNION DE SAN ANTONIO (LAGOS DE MORENO),VESPERTINO,BACHILLERATO,ALTOS ORTE,UNIîN DE SAN ANTONIO,UNION DE SAN ANTONIO,AVENIDA LAS CALIFORNIAS,47570,-102.0110806,21.1231111,SUSPENDIDO
1409083X, iMAX,2 MB,SEJ,JESUS GARCIA,MATUTINO,PREESCOLAR,CENTRO,TLAJOMULCO DE ZUÑIGA,ZAPOTE DEL VALLE (ZAPOTE DE SANTA CRUZ),ALFONSO REYES 44,45672,-103.2933333,20.5088889,ACTIVO
1402900C,ADSL,2 MB,SEJ,LIC. ADOLFO LîPEZ MATEOS,VESPERTINO,SECUNDARIA,ALTOS SUR,VALLE DE GUADALUPE,VALLE DE GUADALUPE,AGUSTIN DE ITURBIDE ¼ 230,47380,-102.6168,21.0108278,SUSPENDIDO
1409932D, iMAX,2 MB,SEJ,GRACIELA GONZALEZ DE GALLO,VESPERTINO,PREESCOLAR,CENTRO,ZAPOPAN,ZAPOPAN,VALLARTA 2340ENTRE LA HACIENDITA Y SAN MARTIN,45230,-103.4511111,20.6263889,ACTIVO
1408679X,ADSL,10 MB,SEJ,INDEPENDENCIA,MATUTINO,SECUNDARIA,CENTRO,GUADALAJARA,GUADALAJARA,RAFAEL ZAYAS ENRIQUEZ ¡ 3435             ,44760,-103.28595,20.6768444,SUSPENDIDO
337DIFZ,ADSL-FO,10 MB,DIF ZAPOPAN,N/D,N/D,N/D,CENTRO,ZAPOPAN,N/D,FRANCISCO I. MADERO S/N ESQ. MERCURIO Y PASEO DE LA PRIMAVERA C.P. 45090,45090,-103.4545667,20.6334722,SUSPENDIDO
1407256E, iMAX,2 MB,SEJ,MIGUEL HIDALGO Y COSTILLA,MATUTINO,PRIMARIA,VALLES,SAN MARTIN HIDALGO,RIO GRANDE,AVENIDA DE LAS ROSAS 15,46770,-103.9579444,20.3736278,ACTIVO
1405609J,ADSL,2 MB,SEJ,IGNACIO VILLASEÑOR LAZCANO,MATUTINO,PRIMARIA,SIERRA DE AMULA,UNIîN DE TULA,UNION DE TULA,PUEBLA SUR 284,48000,-104.2710389,19.9532333,SUSPENDIDO
1406352F, iMAX,2 MB,SEJ,PABLO ERUDA,VESPERTINO,PREESCOLAR,COSTA ORTE,PUERTO VALLARTA,IXTAPA,PEDRO MORENO 240,48280,-105.2129417,20.7142639,SIN SERVICIO
1403446C,ADSL,2 MB,SEJ,VICENTE GUERRERO,MATUTINO,PRIMARIA,CIENEGA,ATOTONILCO EL ALTO,ATOTONILCO EL ALTO,CALZADA UEVA 1345,47750,-102.5087417,20.5505694,SUSPENDIDO
1410259K,ADSL,10 MB,SEJ,JOSE MA MORELOS Y PAVON,MATUTINO,PRIMARIA,CENTRO,IXTLAHUACAN DE LOS MEMBRILLOS,BUENAVISTA,MANUEL CAPETILLO 175,45850,-103.2148694,20.3794639,SUSPENDIDO
1407335X, iMAX,2 MB,SEJ,LEONA VICARIO,MATUTINO,PREESCOLAR,VALLES,TALA,EL REFUGIO,FIDEL VELAZQUEZ 7,45310,-103.7412528,20.6709278,SIN SERVICIO
1403788K,ADSL,2 MB,SEJ,GRACIANO SANCHEZ,MATUTINO,PRIMARIA,CIENEGA,OCOTLAN,OCOTLAN,DURANGO 241,47850,-102.7794667,20.3570028,SUSPENDIDO
1405111H, iMAX,2 MB,SEJ,CAM ARNOLD GESSELL,MATUTINO,ESPECIAL,SUR,ZAPOTILTIC,ZAPOTILTIC,ALDAMA,49600,-103.4162611,19.6253306,SIN SERVICIO
1400246E, iMAX,2 MB,SEJ,SAN PABLO,MATUTINO,PREESCOLAR,VALLES,COCULA,SAN PABLO,CONOCIDO,48500,-103.8146083,20.4916806,SIN SERVICIO
1407805H, iMAX,2 MB,SEJ,ROSAURA ZAPATA,MATUTINO,PREESCOLAR,CENTRO,GUADALAJARA,GUADALAJARA,CALLE 40 144ENTRE JAVIER MINA Y GOMEZ DE MENDIOLA,44380,-103.3221389,20.671,ACTIVO
SC_058, iMAX,2 MB,SC,FRANCISCO CISNEROS,10:00 A 13:00 Y 16:00 A 19:00,MUNICIPAL,VALLES,COCULA,TATEPOSCO,LOS PINOS # 29-B,48525,"103¡51'47.9"" ",20¡26'11.6 I,SIN SERVICIO
1407555D, iMAX,2 MB,SEJ,SEVERO DIAZ GALINDO,MATUTINO,PREESCOLAR,CENTRO,GUADALAJARA,GUADALAJARA,ANDADOR PABLO MONCAYO,44970,-103.3534167,20.6167222,ACTIVO
1403151D, iMAX,2 MB,SEJ,MANUEL LOPEZ COTILLA,MATUTINO,PRIMARIA,ALTOS SUR,TEPATITLAN DE MORELOS,EL LAUREL,EL LAUREL,47600,-102.6495556,20.6870278,SIN SERVICIO
1410734C, iMAX,2 MB,SEJ,BENITO JUAREZ,MATUTINO,PREESCOLAR,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,PRIVADA SAN CARLOS 400 B,45590,-103.3481667,20.5578611,ACTIVO
1404865B, iMAX,2 MB,SEJ,MIGUEL HIDALGO Y COSTILLA,VESPERTINO,PRIMARIA,SUR,GOMEZ FARIAS,SAN ANDRES IXTLAN,PROLONGACION GUERRERO,49130,-103.4792639,19.8182417,ACTIVO
1407622X, iMAX,2 MB,SEJ,LEONA VICARIO,MATUTINO,PREESCOLAR,CENTRO,GUADALAJARA,GUADALAJARA,AVENIDA ARTESANOS 1077,44700,-103.295,20.6846111,ACTIVO
1407925B,ADSL,10 MB,SEJ,ISMAEL RAMIREZ SALCEDO,MATUTINO,PRIMARIA,CENTRO,GUADALAJARA,GUADALAJARA,DIONISIO RODRIGUEZ 2930,44750,-103.2961389,20.6663111,SUSPENDIDO
SC_174, iMAX,2 MB,SC,ING. LUIS ENRIQUE BRACAMONTES GALVEZ,08:00 A 20:00,ESTATAL,SUR,TAPALPA,TAPALPA,AGUSTIN YANEZ #. 25,49340,-103.757004,19.944344,SIN SERVICIO
1407971G, iMAX,2 MB,SEJ,CONCEPCION BECERRA DE CELIS,MATUTINO,PRIMARIA,CENTRO,GUADALAJARA,GUADALAJARA,ESTAÑO 3140 ENTRE MINA AMPARO Y MINAS DEL SUR ,44940,-103.3541667,20.6279444,ACTIVO
1406167D, iMAX,2 MB,SEJ,5 DE FEBRERO DE 1917,VESPERTINO,PREESCOLAR,COSTA ORTE,PUERTO VALLARTA,PUERTO VALLARTA,18 DE MARZO 1245,48290,-105.2013306,20.657775,ACTIVO
1402742F, iMAX,2 MB,SEJ,FLAVIO ROMERO DE VELASCO,VESPERTINO,PRIMARIA,ALTOS SUR,SAN MIGUEL EL ALTO,SAN MIGUEL EL ALTO,EXIQUIO CAMPOS 120,47140,-102.3991389,21.0364722,SIN SERVICIO
1410996C, iMAX,2 MB,SEJ,MANUEL LOPEZ COTILLA,VESPERTINO,PREESCOLAR,CENTRO,ZAPOTLANEJO,ZAPOTLANEJO,NICOLAS BRAVO 40,45430,-103.0722222,20.6208333,SIN SERVICIO
1402378J, iMAX,2 MB,SEJ,MIGUEL HIDALGO Y COSTILLA,VESPERTINO,PRIMARIA,ALTOS ORTE,LAGOS DE MORENO,QUINTA SAN FRANCISCO,CONOCIDO,47400,-101.9120611,21.4094222,ACTIVO
1401885J,ADSL,2 MB,SEJ,CUAUHTEMOC,MATUTINO,PRIMARIA,ALTOS ORTE,LAGOS DE MORENO,LAGOS DE MORENO,EBANO 35,47460,-101.9515667,21.3582083,SUSPENDIDO
1408983A,ADSL,10 MB,SEJ,MIGUEL HIDALGO Y COSTILLA,MATUTINO,PRIMARIA,CENTRO,TLAJOMULCO DE ZUÑIGA,CAJITITLAN,CUAUHTEMOC 23,45670,-103.3117167,20.4357611,SUSPENDIDO
1402772A,ADSL,10 MB,SEJ,QUIRINO AVARRO,MATUTINO,SECUNDARIA,ALTOS SUR,TEPATITLAN DE MORELOS,TEPATITLAN DE MORELOS,ALVARO OBREGîN ¼ 775,47610,-102.761525,20.817225,SUSPENDIDO
SSJ_023,ADSL,2 MB,SSJ,CENTRO DE SALUD LOS MEZQUITES,N/D,N/D,VALLES,AMECA,AMECA,"ALLENDE # 352 ENTRE JARDIN Y OYAMEL, COL. LOS MEZQUITES",46600,-104.062627,20.548758,SUSPENDIDO
1403864C, iMAX,2 MB,SEJ,CBTIS 201,MATUTINO,BACHILLERATO,CIENEGA,PONCITLAN,PONCITLAN,AGUSTIN YAÑEZ 150 ,45950,-102.9366667,20.3825,SIN SERVICIO
CCR_200, iMAX,2 MB,SDH,"CENTRO ORGANIZADO DE RECURSOS ALIMENTARIOS Y SERVICIOS OMNIMODOS PARA IÑOS, A.C. ",N/D,N/D,CENTRO,TLAQUEPAQUE,N/D,AV. DE LAS ROSAS 22,N/D,-101.903421,20.5888889,ACTIVO
GOB_AMECA, iMAX,2 MB,GOB,PRESIDENCIA MUNICIPAL,,,VALLES,AMECA,AMECA,JUAREZ 32,,"104¡ 2'49.77"" ",20¡32'52.56 ,SIN SERVICIO
SSJ_060,ADSL,2 MB,SSJ,OFICINAS ADMINISTRATIVAS,N/D,N/D,COSTA SUR,AUTLAN DE AVARRO,AUTLAN DE AVARRO,JOSE MARIA MRCADO # 146 AUTLAN,48900,-104.365651,19.769197,SUSPENDIDO
UDG_111,ADSL-FO,10 MB,UDG,N/D,N/D,N/D,CENTRO,ZAPOPAN,N/D,AV. PARRES ARIAS S/N,N/D,-103.384583,20.732611,SUSPENDIDO
JCSSA013523, iMAX,2 MB,SSJ,CARAVANA TIPO 0 ZAPOTITLAN DE VADILLO,N/D,N/D,SUR,ZAPOTITLAN DE VADILLO,ZAPOTITLAN DE VADILLO,FRAY PEDRO GANTE 5,49770,103 48 38.504  ,19 32 50.011 ,SIN SERVICIO
1409500H,ADSL,2 MB,SEJ,LUIS DONALDO COLOSIO,MATUTINO,SECUNDARIA,CENTRO,ZAPOPAN,ZAPOPAN,ENCINO 918,45189,-103.3303694,20.7660556,SUSPENDIDO
1404398D,ADSL,2 MB,SEJ,VICENTE GUERRERO,MATUTINO,PRIMARIA,SURESTE,TAMAZULA DE GORDIANO,VILLA DE CONTLA (CONTLA),ALDAMA 11,49660,-103.1815333,19.7536583,SUSPENDIDO
270BI, iMAX,2 MB,BIBLIOTECAS,N/D,N/D,N/D,COSTA SUR,CASIMIRO CASTILLO,N/D,CORREGIDORA #. 110,N/D,-104.485055,19.551166,ACTIVO
1409516A, iMAX,2 MB,SEJ,LEOPOLDO KIEL,VESPERTINO,PRIMARIA,CENTRO,ZAPOPAN,ZAPOPAN,FELIPE CARRILLO PUERTO 5304 ENTRE AVENIDA CORDILLERAS Y VOLCAN PICO DE ORIZABA ,45070,-103.4275556,20.6481944,ACTIVO
1407050A,ADSL,2 MB,SEJ,CECYTEJ 17,MATUTINO,BACHILLERATO,VALLES,EL ARENAL,EL ARENAL,CARR INTERNACIONAL A OGALES KM 25,45350,-103.6990722,20.7800667,SUSPENDIDO
1407252K, iMAX,2 MB,SEJ,NICOLAS BRAVO,MATUTINO,PRIMARIA,VALLES,SAN MARTIN HIDALGO,LABOR DE MEDINA,SAN JUAN DE LETRAN 1,46770,-103.9279722,20.4747778,ACTIVO
1402812A, iMAX,2 MB,SEJ,MARIANO ESCOBEDO,MATUTINO,PREESCOLAR,ALTOS SUR,TEPATITLAN DE MORELOS,TEPATITLAN DE MORELOS,JOSE GUADALUPE VAZQUEZ 467,47620,-102.7728889,20.8249389,ACTIVO
PP_074_01, iMAX,2 MB,GOB,N/D,N/D,N/D,ALTOS SUR,SAN JULIAN,N/D,N/D,N/D,"102¡10'49.96"" ",21¡ 0'39.97 ,SIN SERVICIO
1406875E, iMAX,2 MB,SEJ,GUILLERMO PRIETO,MATUTINO,PRIMARIA,VALLES,AHUALULCO DE MERCADO,LA PE_A,PRIVADA PRIMAVERA 2,46730,-103.9004444,20.7319472,SIN SERVICIO
DIF_CDI_086,ADSL,10 MB,DIF,CAIC SANTA MARIA,N/D,PREESCOLAR,CENTRO,GUADALAJARA,N/D,"SAN IDELFONSO 1431, COL. SANTA MARIA GDL. C.P. 44350",44350,-103.31616,20.685094,SUSPENDIDO
1404046E, iMAX,2 MB,SEJ,MELCHOR OCAMPO,MATUTINO,SECUNDARIA,CIENEGA,ZAPOTLAN DEL REY,TECUALTITAN,PLUTARCO ELIAS CALLES 31 ,45990,-103.0179444,20.4269444,SIN SERVICIO
1410370B, iMAX,2 MB,SEJ,CECYTEJ 5,MATUTINO,BACHILLERATO,CENTRO,EL SALTO,SAN JOSE DEL CASTILLO,PROLONGACION HIDALGO ENTRE 5 DE MAYO ,45685,-103.2330278,20.52675,SIN SERVICIO
1405789E,ADSL,2 MB,SEJ,AGUSTIN YAÑEZ DELGADILLO,MATUTINO,SECUNDARIA,COSTA SUR,CASIMIRO CASTILLO,LA RESOLANA,PROLONGACIîN ALDAMA ¼ 161,48930,-104.4418889,19.6065944,SUSPENDIDO
CCR_228, iMAX,2 MB,GOB,,,,CENTRO,ZAPOPAN,,CONOCIDO,,103 24 54.74  ,20 44 6.15 ,SIN SERVICIO
1407558E, iMAX,2 MB,SEJ,FRANCISCO MEDINA ASCENCIO,MATUTINO,PREESCOLAR,CENTRO,GUADALAJARA,GUADALAJARA,ANDADOR RICHARD  AGNER 212,44990,-103.3504167,20.6155556,ACTIVO
SSJ_597,ADSL,2 MB,SSJ,COLONIA INDIGENA,N/D,N/D,CENTRO,ZAPOPAN,ZAPOPAN,JOSEFA ORTIZ DE DOMINGUEZ # 2,45190,-103.3919444,20.7202778,SUSPENDIDO
1404911J,ADSL,10 MB,SEJ,LAZARO CARDENAS DEL RIO,MATUTINO,PRIMARIA,SUR,TECHALUTA DE MONTENEGRO,TECHALUTA DE MONTENEGRO,EMILIANO ZAPATA 44,49230,-103.5502028,20.0698417,SUSPENDIDO
1407716B, iMAX,2 MB,SEJ,SARA ROBERT,VESPERTINO,PRIMARIA,CENTRO,GUADALAJARA,GUADALAJARA,AVENIDA MEXICO 3375 ENTRE DIAGONAL SAN JORGE Y HERODOTO   ,44690,-103.39975,20.6779444,ACTIVO
1404370A,ADSL,2 MB,SEJ,ALVARO OBREGON,MATUTINO,PRIMARIA,SURESTE,TAMAZULA DE GORDIANO,TAMAZULA DE GORDIANO,AQUILES SERDAN 16,49650,-103.2568528,19.6755139,SUSPENDIDO
1410586H, iMAX,2 MB,SEJ,ELENA MARGARITA SANCHEZ FIGUEROA,VESPERTINO,PREESCOLAR,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,OCAMPO 204,45570,-103.3069722,20.6269167,SIN SERVICIO
1404827B,ADSL,10 MB,SEJ,USAER ZAPOTLAN EL GRANDE,MATUTINO,ESPECIAL,SUR,ZAPOTLAN EL GRANDE,CIUDAD GUZMAN,SIMON BOLIVAR 172,49000,-103.4527583,19.6956694,SUSPENDIDO
1405510H, iMAX,2 MB,SEJ,NIÑOS HEROES,MATUTINO,PRIMARIA,SIERRA DE AMULA,TECOLOTLAN,EL GUAJOLOTE (RANCHO ALVARADO),NIÑOS HEROES 4,48540,-103.891275,20.2672444,SIN SERVICIO
1410588E, iMAX,2 MB,SEJ,JUAN ESCUTIA,MATUTINO,PRIMARIA,CENTRO,TLAQUEPAQUE,TLAQUEPAQUE,ORQUIDEA ENTRE TABACHINES ,45590,-103.4005556,20.6069444,SIN SERVICIO
JCSSA006675,ADSL,2 MB,SSJ,UNIDAD MOVIL VALLE DE JUAREZ,N/D,N/D,SURESTE,VALLE DE JUAREZ,VALLE DE JUAREZ,AV. ING. VILLASEÑOR #102,49540,-102.9444444,19.9325,SUSPENDIDO
1408656D,ADSL,10 MB,SEJ,ANTONIO ALCALDE,VESPERTINO,ESPECIAL,CENTRO,GUADALAJARA,GUADALAJARA,PROLONGACION AVENIDA ALCALDE 1284,44100,-103.3480083,20.6970139,SUSPENDIDO
SGG_002, iMAX,2 MB,GOB,OFICINAS REGIONALES DEL REGISTRO CIVIL,8:00 a 16:00 hrs.,N/D,COSTA SUR,AUTLAN DE AVARRO,AUTLAN DE AVARRO,ANTONIO BORBON # 129,N/D,-104.3788889,19.7719444,SIN SERVICIO
DIF_MUN_184,ADSL,2 MB,DIF, DIF MUNICIPAL O. 184 ,N/D,N/D,CIENEGA,JOCOTEPEC,JOCOTEPEC, PEDRO MORENO O. 183 ,N/D,N/D,N/D,SUSPENDIDO
1407603X,ADSL,10 MB,SEJ,CENTRO DE ATENCION MULTIPLE 4,VESPERTINO,ESPECIAL,CENTRO,GUADALAJARA,GUADALAJARA,AVELINO M PRESA 1685,44700,-103.297225,20.7007111,SUSPENDIDO
1404831B, iMAX,2 MB,SEJ,JOSE VASCONCELOS,MATUTINO,PREESCOLAR,SUR,ZAPOTLAN EL GRANDE,CIUDAD GUZMAN,TERMINACION GUERRERO 257,49000,-103.4713222,19.7092472,SIN SERVICIO
1409412F,ADSL,10 MB,SEJ,GENERAL MANUEL AVILA CAMACHO,MATUTINO,SECUNDARIA,CENTRO,ZAPOPAN,ZAPOPAN,BOULEVAR EL VIGIA ¼ 476                 ,45150,-103.3937028,20.7317917,SUSPENDIDO
1406930K, iMAX,2 MB,SEJ,JUAN ESCUTIA,MATUTINO,PREESCOLAR,VALLES,AMECA,AMECA,JUAN ESCUTIA 59,46649,-104.0459583,20.5352472,SIN SERVICIO
1401844X,INALAMBRICA,2 MB,SEJ,RAFAEL RAMIREZ,MATUTINO,SECUNDARIA,ALTOS ORTE,ENCARNACION DE DIAZ,SANTA MARIA TRANSPONTINA,RAFAEL RAMIREZ # 1,47296,-102.2581806,21.4149778,SUSPENDIDO
1405242H, iMAX,2 MB,SEJ,JOSE MA MORELOS Y PAVON,MATUTINO,PRIMARIA,SUR,ZACOALCO DE TORRES,SAN MARCOS,CONOCIDO,45770,-103.5329333,20.3200222,ACTIVO
1409046B, iMAX,2 MB,SEJ,ESC. SEC. TEC. 126,MATUTINO,SECUNDARIA,CENTRO,TLAJOMULCO DE ZUÑIGA,SAN SEBASTIAN EL GRANDE,MONTENEGRO 161,45650,-103.4416667,20.5263889,ACTIVO
1402578A, iMAX,2 MB,SEJ,LUZ CORRAL,MATUTINO,PREESCOLAR,ALTOS SUR,ACATIC,ACATIC,SEVILLA 435,45470,-102.9058333,20.7722222,SIN SERVICIO
1405097C, iMAX,2 MB,SEJ,FEDERICO FROEBEL,MATUTINO,PREESCOLAR,SUR,ZACOALCO DE TORRES,LA CRUZ,MORELOS 20,45750,-103.5937667,20.2519694,ACTIVO
1402893J, iMAX,2 MB,SEJ,FRANCISCO I MADERO,VESPERTINO,PRIMARIA,ALTOS SUR,TEPATITLAN DE MORELOS,SAN JOSE DE GRACIA,PEDRO MORENO 42,47728,-102.5684,20.6733167,SIN SERVICIO
1408965E,ADSL,10 MB,SEJ,COMUNIDAD INDIGENA,MATUTINO,PRIMARIA,CENTRO,TLAJOMULCO DE ZUÑIGA,TLAJOMULCO DE ZUÑIGA,OCAMPO 78 SUR,45640,-103.4500194,20.4703722,SUSPENDIDO
1406495E,ADSL,2 MB,SEJ,15 DE MAYO,VESPERTINO,PRIMARIA,COSTA ORTE,TOMATLAN,GARGANTILLO (LA HACIENDA),CONOCIDO,48450,-105.3465889,20.0189194,SUSPENDIDO
1405945E,ADSL,2 MB,SEJ,HIDALGO,VESPERTINO,SECUNDARIA,COSTA SUR,VILLA PURIFICACIîN,VILLA PURIFICACION,AV. TECOMATLAN S/N,48800,-104.6024028,19.7194889,SUSPENDIDO
PP_081_01, iMAX,2 MB,GOB,N/D,N/D,N/D,NORTE,SANTA MARIA DE LOS ANGELES,N/D,N/D,N/D,103 13 30.5  ,22 10 22.7 ,SIN SERVICIO
SSJ_116,ADSL,2 MB,SSJ,HOSPITAL REGIONAL DE COCULA,N/D,N/D,VALLES,COCULA,COCULA,KM. 67 CARRETERA GUAD.BARRA DE AV. SN.,48500,-103.8222222,20.3652778,SUSPENDIDO
JCSSA013610, iMAX,2 MB,SSJ,UNEMES SALUD MENTAL AMECA,N/D,N/D,VALLES,AMECA,AMECA,AV. ANDADOR ENTRE PINQUICO Y ANDADOR JARDIN,46600,104 3 41.45 ,20 33 8.40N,SIN SERVICIO
1409958J, iMAX,2 MB,SEJ,NICOLAS COPERNICO,MIXTO,PREESCOLAR,CENTRO,ZAPOPAN,ZAPOPAN,VOLCAN PARICUTIN 5176,45070,-103.4318611,20.6341944,ACTIVO
1403863J, iMAX,2 MB,SEJ,CENTRO DE ATENCION MULTIPLE 25 MIGUEL HIDALGO Y COSTILLA,VESPERTINO,ESPECIAL,CIENEGA,PONCITLAN,PONCITLAN,"AGUSTIN YAÑEZ,166, COL PATRIA",45950,-102.9363056,20.3815,SIN SERVICIO
1405333K, iMAX,2 MB,SEJ,MIGUEL HGO. Y COSTILLA,MATUTINO,SECUNDARIA,SUR,SAN GABRIEL,TOTOLIMIXPA,CRUCERO CARR. EL GRULLO,49720,-103.8176611,19.6956028,SIN SERVICIO
1402469B,ADSL,2 MB,SEJ,ESC. SEC. TEC. O.123,MATUTINO,SECUNDARIA,ALTOS ORTE,TEOCALTICHE,MECHOACANEJO,DOMICILIO CONOCIDO,47210,-102.5970778,21.5405278,SUSPENDIDO
1410762A, iMAX,2 MB,SEJ,FERNANDO MONTES DE OCA,MATUTINO,PREESCOLAR,CENTRO,TONALA,TONALA,AVENIDA AZTLAN 101,45400,-103.30675,20.6095278,ACTIVO
1404765A, iMAX,2 MB,SEJ,OVIDIO DECROLY,VESPERTINO,PREESCOLAR,SUR,ZAPOTLAN EL GRANDE,CIUDAD GUZMAN,CIRCUITO INSURGENTES ORTE,49000,-103.471725,19.7082111,SIN SERVICIO
192UDGV,ADSL,2 MB,UDG,CASA ACATIC,N/D,N/D,ALTOS SUR,ACATIC,ACATIC,ALVARO OBREGîN # 129 ,N/D,-102.9283333,20.7722222,SUSPENDIDO
1405451H,INALAMBRICA,2 MB,SEJ,FRAY BARTOLOME DE LAS CASAS,MATUTINO,PRIMARIA,SIERRA DE AMULA,JUCHITLAN,LOS GUAJES (SAN JOSE DE LOS GUAJES),HIDALGO 30,48630,-104.0243333,20.0858639,SUSPENDIDO
1410275J,ADSL,2 MB,SEJ,FRANCISCO ROJAS GONZALEZ,MATUTINO,PRIMARIA,CENTRO,JUANACATLAN,JUANACATLAN,FRANCISCO ROJAS GONZALEZ 201,45880,-103.1696778,20.5071722,SUSPENDIDO
SC_131, iMAX,2 MB,SC,BIBLIOTECA PUBLICA MUNICIPAL,14:00 A 19:00,MUNICIPAL,CIENEGA,OCOTLAN,SAN MARTIN DE ZULA,HIDALGO # 9,47780,"102¡43'42.1"" ",20¡24'26.8  ,SIN SERVICIO
JCSSA000445,ADSL,2 MB,SSJ,UNIDAD MOVIL DE ATEMAJAC DE BRIZUELA,N/D,N/D,SUR,ATEMAJAC DE BRIZUELA,ATEMAJAC DE BRIZUELA,AVENIDA BRIZUELA SN,45790,-103.7275,20.1388889,SUSPENDIDO
1404977B, iMAX,2 MB,SEJ,MA ENRIQUETA CAMARILLO DE PEREYRA,MATUTINO,PREESCOLAR,SUR,TOLIMAN,COPALA,19 DE ABRIL 24,49760,-103.769975,19.6127722,SIN SERVICIO
318DIFZ,ADSL-FO,10 MB,DIF ZAPOPAN,N/D,N/D,N/D,CENTRO,ZAPOPAN,N/D,PROL. PARAISOS DEL COLLI S/N (CRUZA CON JACARANDAS) C.P. 45069,45069,-103.4534583,20.6497861,SUSPENDIDO
1404703C,ADSL,10 MB,SEJ,16 DE SEPTIEMBRE,MATUTINO,PRIMARIA,SUR,AMACUECA,AMACUECA,GUADALUPE YAÑEZ 1,49370,-103.5994639,20.0119056,SUSPENDIDO
SSJ_460,ADSL,2 MB,SSJ,CENTRO DE SALUD RURAL DE TEOCUITATLAN,N/D,N/D,SUR,TEOCUITATLAN DE CORONA,TEOCUITATLAN DE CORONA,NIÑOS HEROES # 8,49250,-103.3763889,20.0941667,SUSPENDIDO
1410373C, iMAX,2 MB,SEJ,DIEGO RIVERA,MATUTINO,PRIMARIA,CENTRO,EL SALTO,SAN JOSE EL VERDE (EL VERDE),"AVENIDA DE LA CUESTA  S/N,COL FRACCIONAMIENTO LAS LOMAS",45694,-103.2805,20.5684722,ACTIVO
1411822K, iMAX,2 MB,SEJ,EL SALVIAL,MATUTINO,SECUNDARIA,CENTRO,IXTLAHUACAN DEL RIO,EL SALVIAL,LOC. EL SALVIAL ,45260,-103.2629167,20.8392778,SIN SERVICIO
SSJ_634, iMAX,2 MB,SSJ,ALMACEN ESTATAL,N/D,N/D,CENTRO,ZAPOPAN,ZAPOPAN,LAGO TEQUESQUITENGO # 2600 COL.ZOQUIPAN LAGOS DEL COUNTRY,44210,-103.370244,20.716281,SIN SERVICIO
1409573A,ADSL,10 MB,SEJ,PRIMARIA  54,NOCTURNO,PRIMARIA,CENTRO,ZAPOPAN,ZAPOPAN,INGENIERO PASTOR ROUAIX,45180,-103.3738667,20.7260472,SUSPENDIDO
1403231A, iMAX,2 MB,SEJ,JUAN ESCUTIA,MATUTINO,PRIMARIA,ALTOS SUR,SAN MIGUEL EL ALTO,LOS CERRITOS,CONOCIDO,47140,-102.2273444,21.0511028,SIN SERVICIO
1411007H, iMAX,2 MB,SEJ,IDOLINA GAONA RUIZ,MATUTINO,PRIMARIA,CENTRO,ZAPOTLANEJO,COLIMILLA,LAZARO CARDENAS O.87 LOCALIDAD COLIMILLA,45434,-103.1927778,20.7055556,ACTIVO
1408084G, iMAX,2 MB,SEJ,SARA VILLALOBOS RUVALCABA,MATUTINO,PREESCOLAR,CENTRO,GUADALAJARA,GUADALAJARA,GOMEZ DE MENDIOLA 2965,44810,-103.2955556,20.6655278,SIN SERVICIO
UDG_221,ADSL,2 MB,UDG,N/D,N/D,N/D,ALTOS ORTE,SAN DIEGO DE ALEJANDRIA,N/D,CALLE 5 DE MAYO O.202. ENTRE MATAMOROS Y INDEPEND,N/D,-101.992917,20.993139,SUSPENDIDO
GOB_PIHUAMO, iMAX,2 MB,GOB,PRESIDENCIA MUNICIPAL DE PIHUAMO,N/D,PRESIDENCIA,SURESTE,PIHUAMO,PIHUAMO,CALLE MORELOS # 7,49870,-103.379775,19.2533917,SIN SERVICIO
1402018F,ADSL,10 MB,SEJ,JUSTO SIERRA,MATUTINO,PRIMARIA,ALTOS ORTE,SAN JUAN DE LOS LAGOS,SAN JUAN DE LOS LAGOS,AGUSTIN YAÑEZ 121,47000,-102.334325,21.2525333,SUSPENDIDO
